title,canonical_name,cuisine,score,version_rank,total_versions,ingredients_count,steps_count
香干蒸油渣,香干蒸油渣,湘菜,0.5499999999999999,1,1,8,7
苦瓜酿肉,苦瓜酿肉,湘菜,0.6645454545454546,1,1,11,14
香辣田鸡,香辣田鸡,湘菜,0.7075,1,1,10,8
手撕包菜,手撕包菜,湘菜,0.7285714285714284,1,1,7,8
糯米蒸排骨,糯米蒸排骨,湘菜,0.6815384615384615,1,1,13,4
糖油粑粑,糖油粑粑,湘菜,0.665,1,1,3,9
酸辣魔芋豆腐,酸辣魔芋豆腐,湘菜,0.5700000000000001,1,1,5,3
红烧龙虾,红烧龙虾,湘菜,0.735,1,1,5,10
腊肠窝蛋煲仔饭,煲仔饭,粤菜,0.84625,1,11,8,13
腊味煲仔饭,煲仔饭,粤菜,0.7749999999999999,2,11,9,15
猪湿粉肠瘦肉芥菜汤,猪湿粉肠瘦肉芥菜汤,粤菜,0.7109090909090909,1,1,11,9
广式叉烧肉,广式叉烧肉,粤菜,0.8200000000000001,1,1,10,14
虎皮凤爪,虎皮凤爪,粤菜,0.7241666666666667,1,3,18,18
虎皮凤爪,虎皮凤爪,粤菜,0.7109090909090909,2,3,11,15
豉油皇鸭肠,豉油皇鸭肠,粤菜,0.75,1,1,6,8
碌鸭,碌鸭,粤菜,0.76,1,1,12,13
蚝油生菜,蚝油生菜,粤菜,0.485,1,1,4,4
竹荪猪肚鸡,竹荪猪肚鸡,粤菜,0.63,1,1,5,7
蒜香广东菜心,蒜香广东菜心,粤菜,0.5449999999999999,1,1,4,5
仔姜焖鸭,仔姜焖鸭,粤菜,0.6900000000000001,1,1,7,10
猪脚姜,猪脚姜,粤菜,0.865,1,2,10,15
猪脚姜,猪脚姜,粤菜,0.61625,2,2,4,12
盐焗鸡,盐焗鸡,粤菜,0.6599999999999999,1,2,5,8
盐焗鸡,盐焗鸡,粤菜,0.5375,2,2,4,5
生炒菜心,生炒菜心,粤菜,0.724375,1,1,8,7
广式辣肠焖饭,广式辣肠焖饭,粤菜,0.6983333333333333,1,1,9,6
五指毛桃排骨汤,五指毛桃排骨汤,粤菜,0.6300000000000001,1,1,5,7
叉烧包,叉烧包,粤菜,0.7525,1,1,10,9
虾仁滑蛋,虾仁滑蛋,粤菜,0.7050000000000001,1,1,6,11
猪肉香葱炒河粉,猪肉香葱炒河粉,粤菜,0.725,1,1,3,5
白灼菜心,白灼菜心,粤菜,0.76,1,3,9,12
白灼菜心,白灼菜心,粤菜,0.48875,2,3,4,12
猪肚鸡,猪肚鸡,粤菜,0.56,1,1,4,5
清炒菜心,清炒菜心,粤菜,0.7374999999999999,1,1,6,9
炒河粉,炒河粉,粤菜,0.6231249999999999,1,1,8,5
姜蓉鸡,姜蓉鸡,粤菜,0.54,1,1,3,7
电饭锅盐焗豉油鸡,电饭锅盐焗豉油鸡,粤菜,0.75,1,1,7,6
生腌血蛤,生腌血蛤,粤菜,0.6125,1,1,6,6
酸梅鸭,酸梅鸭,粤菜,0.5625,1,1,6,21
酱油鸡,酱油鸡,粤菜,0.54875,1,1,4,14
奶黄包,奶黄包,粤菜,0.7150000000000001,1,2,10,29
奶黄包,奶黄包,粤菜,0.5900000000000001,2,2,4,14
卤菜肠粉,卤菜肠粉,粤菜,0.525,1,1,3,5
生蚝花甲酸菜开胃汤,生蚝花甲酸菜开胃汤,粤菜,0.6200000000000001,1,1,6,5
鸡杂炒粉丝,鸡杂炒粉丝,粤菜,0.7007142857142857,1,1,7,10
广式生滚牛肉粥,广式生滚牛肉粥,粤菜,0.6275,1,1,4,5
鸡蛋肠粉,鸡蛋肠粉,粤菜,0.6599999999999999,1,1,5,6
叉烧肉,叉烧肉,粤菜,0.7375,1,1,6,9
荷香糯米鸡,荷香糯米鸡,粤菜,0.8049999999999999,1,1,14,10
芋头糕,芋头糕,粤菜,0.6318181818181817,1,1,11,13
水晶饺子,水晶饺子,粤菜,0.6150000000000001,1,1,5,7
蚝油蒜蓉生菜,蚝油蒜蓉生菜,粤菜,0.795,1,1,5,10
五指毛桃煲老鸽,五指毛桃煲老鸽,粤菜,0.5549999999999999,1,1,5,11
菠萝咕咾肉,菠萝咕咾肉,粤菜,0.71,1,1,3,7
沙姜鸡煲,沙姜鸡煲,粤菜,0.8225,1,1,12,9
下饭菜豉汁排骨,下饭菜豉汁排骨,粤菜,0.7050000000000001,1,1,7,8
白切鸡腿,白切鸡腿,粤菜,0.8200000000000001,1,1,8,10
糖不甩,糖不甩,粤菜,0.6012500000000001,1,1,4,13
简易猪肉肠,简易猪肉肠,粤菜,0.5700000000000001,1,1,6,5
蜜汁叉烧,蜜汁叉烧,粤菜,0.7542857142857143,1,1,7,12
正宗苏式熏鱼,正宗苏式熏鱼,苏菜,0.74875,1,1,12,8
软兜长鱼,软兜长鱼,苏菜,0.6877272727272727,1,1,11,9
五香虎皮鸡蛋,五香虎皮鸡蛋,苏菜,0.8281818181818182,1,1,11,9
红烧划水,红烧划水,苏菜,0.81,1,1,9,8
赣榆煎饼卷三丝,赣榆煎饼卷三丝,苏菜,0.7247058823529411,1,1,17,13
葱包桧儿,葱包桧儿,苏菜,0.735,1,1,5,9
无锡排骨,无锡排骨,苏菜,0.745,1,2,12,14
无锡酱排骨,无锡排骨,苏菜,0.7285714285714286,2,2,7,17
青团,青团,苏菜,0.585,1,1,7,12
龙虎斗烧饼,龙虎斗烧饼,苏菜,0.7395454545454545,1,1,11,17
桂花糖芋艿,桂花糖芋艿,苏菜,0.765,1,1,6,15
清蒸大闸蟹,清蒸大闸蟹,苏菜,0.6835714285714286,1,6,7,4
清蒸大闸蟹,清蒸大闸蟹,苏菜,0.6499999999999999,2,6,3,7
清炖狮子头,清炖狮子头,苏菜,0.8049999999999999,1,3,11,16
清炖狮子头,清炖狮子头,苏菜,0.7749999999999999,2,3,10,9
黄桥烧饼,黄桥烧饼,苏菜,0.6074999999999999,1,1,6,20
松鼠鱼,松鼠鱼,苏菜,0.6522727272727272,1,2,11,9
松鼠鳜鱼,松鼠鱼,苏菜,0.585,2,2,5,12
蜜三刀,蜜三刀,苏菜,0.77125,1,2,8,16
蜜三刀,蜜三刀,苏菜,0.615,2,2,5,8
扬州炒饭,扬州炒饭,苏菜,0.6300000000000001,1,1,7,5
粢饭团,粢饭团,苏菜,0.5800000000000001,1,1,6,8
双糯米蒸饭包油条,双糯米蒸饭包油条,苏菜,0.7050000000000001,1,1,6,14
腌笃鲜,腌笃鲜,苏菜,0.705,1,3,7,9
腌笃鲜,腌笃鲜,苏菜,0.645,2,3,5,9
清蒸黄花鱼,清蒸黄花鱼,苏菜,0.6681250000000001,1,1,8,8
猪肉汤圆,猪肉汤圆,苏菜,0.5057142857142857,1,1,7,4
茄胙,茄胙,苏菜,0.6775,1,1,10,9
腐乳炒菜心,腐乳炒菜心,苏菜,0.68,1,1,3,6
把子肉,把子肉,苏菜,0.715,1,1,10,9
黄焖鸡家庭版,黄焖鸡,苏菜,0.6625,1,1,10,7
涨蛋糕,涨蛋糕,苏菜,0.62,1,1,4,8
苏式响油鳝丝,苏式响油鳝丝,苏菜,0.7074999999999999,1,1,8,14
盐水虾,盐水虾,苏菜,0.795,1,3,7,6
盐水虾,盐水虾,苏菜,0.6599999999999999,2,3,5,6
鸭血粉丝汤,鸭血粉丝汤,苏菜,0.6657142857142857,1,1,14,18
红烧肉圆,红烧肉圆,苏菜,0.7112499999999999,1,1,8,11
苏式熏鱼,苏式熏鱼,苏菜,0.8425,1,2,10,8
苏式熏鱼,苏式熏鱼,苏菜,0.725,2,2,4,5
自制松子枣泥麻饼,自制松子枣泥麻饼,苏菜,0.82,1,1,12,12
西湖牛肉羹,西湖牛肉羹,苏菜,0.7618750000000001,1,1,8,16
香菇炖鸡,香菇炖鸡,苏菜,0.7285714285714286,1,1,7,7
面筋塞肉,面筋塞肉,苏菜,0.679375,1,1,8,7
双菇炖鸡,双菇炖鸡,苏菜,0.7449999999999999,1,1,10,13
西湖醋鱼,西湖醋鱼,苏菜,0.6824999999999999,1,1,6,23
虎皮鸡蛋,虎皮鸡蛋,苏菜,0.72125,1,1,4,4
清蒸手工狮子头,清蒸手工狮子头,苏菜,0.88,1,2,11,17
清蒸狮子头,清蒸手工狮子头,苏菜,0.805,2,2,11,15
清蒸鱼糜狮子头,清蒸鱼糜狮子头,苏菜,0.85,1,1,15,14
宴客菜肴松鼠鳜鱼,宴客菜肴松鼠鳜鱼,苏菜,0.82,1,1,15,24
梅菜扣肉,梅菜扣肉,苏菜,0.63875,1,1,4,7
酱汁狮子头,酱汁狮子头,苏菜,0.8753846153846154,1,1,13,12
三鲜馄饨,三鲜馄饨,苏菜,0.625,1,1,10,4
清炖甲鱼,清炖甲鱼,苏菜,0.69,1,1,5,10
黄焖栗子鸡,黄焖栗子鸡,苏菜,0.8959375,1,1,16,13
鸡丝春卷,鸡丝春卷,苏菜,0.7092307692307692,1,1,13,19
五味干丝,五味干丝,苏菜,0.7266666666666667,1,1,9,9
琥珀桃仁,琥珀桃仁,苏菜,0.5549999999999999,1,1,3,4
话梅卤汁豆腐干,话梅卤汁豆腐干,苏菜,0.82,1,1,10,10
茶香烟熏鸡,茶香烟熏鸡,苏菜,0.7804545454545454,1,1,11,13
文思豆腐羹,文思豆腐羹,苏菜,0.6000000000000001,1,1,7,7
盐水鸭,盐水鸭,苏菜,0.57,1,1,5,12
蚝烙,蚝烙,闽菜,0.4607142857142857,1,1,7,7
五指毛桃煲老鸽,五指毛桃煲老鸽,闽菜,0.55,1,1,6,9
家庭版佛跳墙,佛跳墙,闽菜,0.7276923076923076,1,4,13,8
家庭版佛跳墙,佛跳墙,闽菜,0.7,2,4,21,13
酒糟鸡,酒糟鸡,闽菜,0.66,1,1,5,11
家庭版姜母鸭,姜母鸭,闽菜,0.7449999999999999,1,1,8,10
福州红糟肉,福州红糟肉,闽菜,0.7975,1,1,10,15
福鼎肉片,福鼎肉片,闽菜,0.7159375,1,1,16,15
沙茶牛肉片,沙茶牛肉片,闽菜,0.865,1,2,14,8
沙茶牛肉,沙茶牛肉片,闽菜,0.7531818181818182,2,2,11,16
